Neighborhood,Year,Predicted Home Value
Hampden South,2033,584054.07
Hampden South,2034,597120.62
Hampden South,2035,610187.18
Harvey Park,2024,431701.64
Harvey Park,2025,446572.32
Harvey Park,2026,461443.0
Harvey Park,2027,476313.68
Harvey Park,2028,491184.36
Harvey Park,2029,506055.04
Harvey Park,2030,520925.72
Harvey Park,2031,535796.4
Harvey Park,2032,550667.08
Harvey Park,2033,565537.76
Harvey Park,2034,580408.43
Harvey Park,2035,595279.11
Harvey Park South,2024,480536.56
Harvey Park South,2025,495995.05
Harvey Park South,2026,511453.55
Harvey Park South,2027,526912.05
Harvey Park South,2028,542370.54
Harvey Park South,2029,557829.04
Harvey Park South,2030,573287.53
Harvey Park South,2031,588746.03
Harvey Park South,2032,604204.53
Harvey Park South,2033,619663.02
Harvey Park South,2034,635121.52
Harvey Park South,2035,650580.01
Highland,2024,697508.51
Highland,2025,721061.52
Highland,2026,744614.53
Highland,2027,768167.55
Highland,2028,791720.56
Highland,2029,815273.57
Highland,2030,838826.58
Highland,2031,862379.59
Highland,2032,885932.6
Highland,2033,909485.61
Highland,2034,933038.62
Highland,2035,956591.63
Hilltop,2024,1266190.77
Hilltop,2025,1304446.95
Hilltop,2026,1342703.12
Hilltop,2027,1380959.29
Hilltop,2028,1419215.46
Hilltop,2029,1457471.63
Hilltop,2030,1495727.8
Hilltop,2031,1533983.97
Hilltop,2032,1572240.14
Hilltop,2033,1610496.31
Hilltop,2034,1648752.49
Hilltop,2035,1687008.66
Indian Creek,2024,347547.01
Indian Creek,2025,356656.36
Indian Creek,2026,365765.72
Indian Creek,2027,374875.08
Indian Creek,2028,383984.44
Indian Creek,2029,393093.8
Indian Creek,2030,402203.16
Indian Creek,2031,411312.52
Indian Creek,2032,420421.87
Indian Creek,2033,429531.23
Indian Creek,2034,438640.59
Indian Creek,2035,447749.95
Jefferson Park,2024,628100.35
Jefferson Park,2025,650359.88
Jefferson Park,2026,672619.42
Jefferson Park,2027,694878.95
Jefferson Park,2028,717138.49
Jefferson Park,2029,739398.03
Jefferson Park,2030,761657.56
Jefferson Park,2031,783917.1
Jefferson Park,2032,806176.63
Jefferson Park,2033,828436.17
Jefferson Park,2034,850695.71
Jefferson Park,2035,872955.24
Lincoln Park,2024,431351.23
Lincoln Park,2025,445194.27
Lincoln Park,2026,459037.31
Lincoln Park,2027,472880.35
Lincoln Park,2028,486723.39
Lincoln Park,2029,500566.43
Lincoln Park,2030,514409.47
Lincoln Park,2031,528252.51
Lincoln Park,2032,542095.56
Lincoln Park,2033,555938.6
Lincoln Park,2034,569781.64
Lincoln Park,2035,583624.68
Lowry Field,2024,759093.69
Lowry Field,2025,778591.64
Lowry Field,2026,798089.59
Lowry Field,2027,817587.54
Lowry Field,2028,837085.49
Lowry Field,2029,856583.44
Lowry Field,2030,876081.39
Lowry Field,2031,895579.34
Lowry Field,2032,915077.29
Lowry Field,2033,934575.24
Lowry Field,2034,954073.19
Lowry Field,2035,973571.14
Mar Lee,2024,379440.04
Mar Lee,2025,391924.35
Mar Lee,2026,404408.65
Mar Lee,2027,416892.96
Mar Lee,2028,429377.26
Mar Lee,2029,441861.57
Mar Lee,2030,454345.87
Mar Lee,2031,466830.18
Mar Lee,2032,479314.48
Mar Lee,2033,491798.79
Mar Lee,2034,504283.1
Mar Lee,2035,516767.4
Montbello,2024,371757.26
Montbello,2025,384099.92
Montbello,2026,396442.58
Montbello,2027,408785.24
Montbello,2028,421127.9
Montbello,2029,433470.56
Montbello,2030,445813.22
Montbello,2031,458155.89
Montbello,2032,470498.55
Montbello,2033,482841.21
Montbello,2034,495183.87
