,Neighborhood,Date,Price,Year,Month,TimeIndex,Month_sin,Month_cos
6150,Wellshire,2006-09-30,474114.6592333291,2006,9,81,-1.0,-1.8369701987210297e-16
6151,Country Club,2006-09-30,754983.4973087264,2006,9,81,-1.0,-1.8369701987210297e-16
6152,Civic Center,2006-09-30,391903.95125563815,2006,9,81,-1.0,-1.8369701987210297e-16
6153,Rosedale,2006-09-30,318919.9635262077,2006,9,81,-1.0,-1.8369701987210297e-16
6156,Gateway - Green Valley Ranch,2006-10-31,215156.1927696375,2006,10,82,-0.8660254037844386,0.5000000000000001
6157,Montbello,2006-10-31,167113.57116340916,2006,10,82,-0.8660254037844386,0.5000000000000001
6159,Hampden,2006-10-31,228336.9843537589,2006,10,82,-0.8660254037844386,0.5000000000000001
6160,Five Points,2006-10-31,298807.6977835475,2006,10,82,-0.8660254037844386,0.5000000000000001
6161,Westwood,2006-10-31,126117.29818491888,2006,10,82,-0.8660254037844386,0.5000000000000001
6162,Hampden South,2006-10-31,248642.3088219484,2006,10,82,-0.8660254037844386,0.5000000000000001
6163,Capitol Hill,2006-10-31,181944.86182094956,2006,10,82,-0.8660254037844386,0.5000000000000001
6164,Virginia Village,2006-10-31,248166.3083880776,2006,10,82,-0.8660254037844386,0.5000000000000001
6165,Washington Virginia Vale,2006-10-31,192366.63063068604,2006,10,82,-0.8660254037844386,0.5000000000000001
6166,Windsor,2006-10-31,93719.08452311456,2006,10,82,-0.8660254037844386,0.5000000000000001
6167,Mar Lee,2006-10-31,167605.82269680066,2006,10,82,-0.8660254037844386,0.5000000000000001
6168,Harvey Park,2006-10-31,177206.63765579005,2006,10,82,-0.8660254037844386,0.5000000000000001
6169,Speer,2006-10-31,258935.9085351611,2006,10,82,-0.8660254037844386,0.5000000000000001
6170,North Park Hill,2006-10-31,272454.69754986704,2006,10,82,-0.8660254037844386,0.5000000000000001
6171,Highland,2006-10-31,286739.0060817183,2006,10,82,-0.8660254037844386,0.5000000000000001
6172,Congress Park,2006-10-31,360295.7942398304,2006,10,82,-0.8660254037844386,0.5000000000000001
6173,East Colfax,2006-10-31,162749.30985562774,2006,10,82,-0.8660254037844386,0.5000000000000001
6174,Lowry Field,2006-10-31,488417.5602016892,2006,10,82,-0.8660254037844386,0.5000000000000001
6175,West Colfax,2006-10-31,210735.5523459864,2006,10,82,-0.8660254037844386,0.5000000000000001
