Year,Neighborhood,Prophet Forecasted Home Value,YoY_Growth
2028,City Park West,760083.85,3.07
2028,Civic Center,642620.39,1.19
2028,Clayton,604918.45,3.59
2028,Cole,690402.61,3.85
2028,College View - South Platte,535158.33,4.57
2028,Congress Park,1006712.73,4.04
2028,Cory - Merrill,1125867.96,4.32
2028,Country Club,2083615.06,4.93
2028,Denver International Airport,460375.24,3.48
2028,East Colfax,534932.31,3.98
2028,Elyria Swansea,463399.09,4.31
2028,Five Points,730676.19,3.14
2028,Fort Logan,725543.48,4.69
2028,Gateway - Green Valley Ranch,632146.08,4.87
2028,Globeville,479323.32,3.94
2028,Goldsmith,606636.79,4.15
2028,Hale,796711.72,3.97
2028,Hampden,658991.76,4.4
2028,Hampden South,638233.94,4.06
2028,Harvey Park,625716.35,4.62
2028,Harvey Park South,691316.54,4.52
2028,Highland,926913.94,4.12
2028,Hilltop,2009055.31,5.81
2028,Indian Creek,488167.1,4.08
2028,Jefferson Park,854628.31,4.32
2028,Lincoln Park,534620.61,3.02
2028,Lowry Field,1004533.68,3.94
2028,Mar Lee,555725.1,4.51
2028,Montbello,561301.32,4.78
2028,Montclair,868917.64,4.26
2028,North Capitol Hill,569072.83,2.4
2028,North Park Hill,845713.0,4.24
2028,Northeast Park Hill,595122.52,3.92
2028,Overland,650025.25,4.17
2028,Platt Park,1041932.58,4.23
2028,Regis,748389.4,4.51
2028,Rosedale,872411.4,4.21
2028,Ruby Hill,559361.78,4.38
2028,Skyland,742797.7,3.92
2028,Sloan Lake,1037152.06,4.5
2028,South Park Hill,1178942.07,4.51
2028,Southmoor Park,900461.96,4.53
2028,Speer,642364.97,3.15
2028,Sunnyside,852600.05,4.53
2028,Union Station,732727.22,1.42
2028,University,843268.13,4.07
2028,University Hills,728399.94,4.4
2028,University Park,1330320.37,4.8
2028,Valverde,512630.15,4.23
2028,Villa Park,548743.0,4.41
2028,Virginia Village,782074.28,4.38
2028,Washington Park,1538249.53,4.96
2028,Washington Park West,1074495.94,4.15
2028,Washington Virginia Vale,607373.69,4.32
2028,Wellshire,1462793.44,5.44
2028,West Colfax,862343.06,4.24
2028,West Highland,1008304.05,4.37
2028,Westwood,480823.22,4.41
2028,Whittier,840245.04,3.94
2028,Windsor,312870.51,4.06
2029,Athmar Park,600664.54,4.3
2029,Auraria,726830.35,-2.42
2029,Baker,743544.15,3.23
2029,Barnum,548653.05,4.4
2029,Barnum West,569232.56,4.54
2029,Bear Valley,715013.69,4.59
2029,Belcaro,1907383.07,5.0
2029,Berkeley,1001835.67,4.35
2029,Berkley,501894.68,0.5
2029,Capitol Hill,403073.9,2.43
2029,Central Business District,457387.84,1.07
2029,Central Park,1030493.94,3.97
2029,Chaffee Park,629520.8,4.4
2029,Cheesman Park,503329.77,2.42
2029,Cherry Creek,1454901.48,3.95
2029,City Park,931514.61,3.49
2029,City Park West,784095.39,3.16
2029,Civic Center,650625.59,1.25
2029,Clayton,626576.65,3.58
2029,Cole,716931.08,3.84
2029,College View - South Platte,559654.51,4.58
2029,Congress Park,1047566.41,4.06
2029,Cory - Merrill,1174272.84,4.3
2029,Country Club,2184680.19,4.85
2029,Denver International Airport,476115.87,3.42
2029,East Colfax,556287.35,3.99
2029,Elyria Swansea,483638.89,4.37
2029,Five Points,754094.1,3.2
2029,Fort Logan,759178.22,4.64
2029,Gateway - Green Valley Ranch,662383.67,4.78
2029,Globeville,498289.14,3.96
2029,Goldsmith,631677.18,4.13
2029,Hale,828527.92,3.99
2029,Hampden,687717.67,4.36
2029,Hampden South,664268.23,4.08
2029,Harvey Park,654275.34,4.56
2029,Harvey Park South,722296.67,4.48
2029,Highland,964619.16,4.07
2029,Hilltop,2121780.65,5.61
2029,Indian Creek,507791.81,4.02
2029,Jefferson Park,890690.05,4.22
2029,Lincoln Park,551044.54,3.07
2029,Lowry Field,1043430.58,3.87
2029,Mar Lee,580489.38,4.46
2029,Montbello,587665.81,4.7
2029,Montclair,906001.42,4.27
2029,North Capitol Hill,582949.34,2.44
2029,North Park Hill,881571.68,4.24
2029,Northeast Park Hill,618473.52,3.92
2029,Overland,677047.99,4.16
2029,Platt Park,1085752.04,4.21
2029,Regis,781391.66,4.41
2029,Rosedale,909115.49,4.21
2029,Ruby Hill,583864.92,4.38
2029,Skyland,772067.35,3.94
2029,Sloan Lake,1082900.14,4.41
2029,South Park Hill,1231847.43,4.49
2029,Southmoor Park,940634.74,4.46
2029,Speer,663217.29,3.25
2029,Sunnyside,890602.45,4.46
2029,Union Station,744465.34,1.6
2029,University,877859.17,4.1
2029,University Hills,759995.17,4.34
2029,University Park,1393504.36,4.75
2029,Valverde,534436.05,4.25
2029,Villa Park,572740.26,4.37
2029,Virginia Village,816177.93,4.36
2029,Washington Park,1612913.05,4.85
2029,Washington Park West,1118967.17,4.14
2029,Washington Virginia Vale,633437.1,4.29
2029,Wellshire,1539233.6,5.23
2029,West Colfax,898373.14,4.18
2029,West Highland,1051940.87,4.33
2029,Westwood,501793.0,4.36
2029,Whittier,873338.03,3.94
2029,Windsor,325156.0,3.93
2030,Athmar Park,624928.26,4.04
2030,Auraria,709300.63,-2.41
2030,Baker,766190.52,3.05
2030,Barnum,571193.58,4.11
2030,Barnum West,593512.42,4.27
2030,Bear Valley,745863.75,4.31
2030,Belcaro,1996796.48,4.69
2030,Berkeley,1043024.85,4.11
2030,Berkley,504672.65,0.55
2030,Capitol Hill,412398.36,2.31
2030,Central Business District,461996.98,1.01
2030,Central Park,1069430.84,3.78
2030,Chaffee Park,655363.61,4.11
2030,Cheesman Park,514742.55,2.27
2030,Cherry Creek,1509151.13,3.73
2030,City Park,962101.31,3.28
2030,City Park West,807405.0,2.97
2030,Civic Center,658385.08,1.19
2030,Clayton,647856.45,3.4
2030,Cole,742959.27,3.63
2030,College View - South Platte,583561.74,4.27
2030,Congress Park,1087471.48,3.81
2030,Cory - Merrill,1221713.85,4.04
2030,Country Club,2284022.88,4.55
2030,Denver International Airport,491696.72,3.27
2030,East Colfax,577156.13,3.75
2030,Elyria Swansea,503303.67,4.07
2030,Five Points,776884.42,3.02
2030,Fort Logan,792182.72,4.35
2030,Gateway - Green Valley Ranch,692139.97,4.49
2030,Globeville,516833.26,3.72
2030,Goldsmith,656254.44,3.89
2030,Hale,859605.23,3.75
2030,Hampden,715929.58,4.1
2030,Hampden South,689700.2,3.83
2030,Harvey Park,682339.89,4.29
2030,Harvey Park South,752692.79,4.21
2030,Highland,1001750.35,3.85
2030,Hilltop,2233161.37,5.25
2030,Indian Creek,527153.67,3.81
2030,Jefferson Park,926375.0,4.01
2030,Lincoln Park,567064.97,2.91
2030,Lowry Field,1081857.13,3.68
2030,Mar Lee,604839.57,4.19
2030,Montbello,613617.1,4.42
2030,Montclair,942256.22,4.0
2030,North Capitol Hill,596530.39,2.33
2030,North Park Hill,916639.73,3.98
2030,Northeast Park Hill,641338.33,3.7
2030,Overland,703530.61,3.91
2030,Platt Park,1128744.64,3.96
2030,Regis,814007.62,4.17
2030,Rosedale,945034.59,3.95
2030,Ruby Hill,607809.96,4.1
2030,Skyland,800675.78,3.71
2030,Sloan Lake,1128054.47,4.17
2030,South Park Hill,1283677.1,4.21
2030,Southmoor Park,980190.26,4.21
2030,Speer,683427.45,3.05
2030,Sunnyside,928019.22,4.2
2030,Union Station,755417.59,1.47
2030,University,911591.83,3.84
2030,University Hills,791085.35,4.09
2030,University Park,1455454.43,4.45
2030,Valverde,555707.55,3.98
2030,Villa Park,596281.17,4.11
2030,Virginia Village,849581.09,4.09
2030,Washington Park,1686468.13,4.56
2030,Washington Park West,1162533.02,3.89
2030,Washington Virginia Vale,659012.71,4.04
2030,Wellshire,1615119.34,4.93
2030,West Colfax,933898.06,3.95
2030,West Highland,1094801.29,4.07
2030,Westwood,522397.73,4.11
2030,Whittier,905785.83,3.72
2030,Windsor,337389.49,3.76
2031,Athmar Park,649190.81,3.88
2031,Auraria,691772.3,-2.47
2031,Baker,788835.56,2.96
2031,Barnum,593732.77,3.95
2031,Barnum West,617791.25,4.09
2031,Bear Valley,776712.61,4.14
2031,Belcaro,2086206.7,4.48
2031,Berkeley,1084212.69,3.95
2031,Berkley,507451.38,0.55
2031,Capitol Hill,421722.25,2.26
2031,Central Business District,466605.61,1.0
2031,Central Park,1108366.91,3.64
2031,Chaffee Park,681204.86,3.94
2031,Cheesman Park,526154.18,2.22
2031,Cherry Creek,1563398.7,3.59
2031,City Park,992686.08,3.18
2031,City Park West,830713.08,2.89
2031,Civic Center,666143.94,1.18
2031,Clayton,669135.47,3.28
2031,Cole,768986.37,3.5
2031,College View - South Platte,607467.59,4.1
2031,Congress Park,1127374.48,3.67
2031,Cory - Merrill,1269152.73,3.88
2031,Country Club,2383361.72,4.35
2031,Denver International Airport,507277.2,3.17
2031,East Colfax,598023.8,3.62
2031,Elyria Swansea,522967.19,3.91
2031,Five Points,799673.41,2.93
2031,Fort Logan,825185.77,4.17
2031,Gateway - Green Valley Ranch,721895.24,4.3
2031,Globeville,535376.4,3.59
2031,Goldsmith,680830.67,3.74
2031,Hale,890680.88,3.62
2031,Hampden,744140.31,3.94
2031,Hampden South,715130.82,3.69
2031,Harvey Park,710403.31,4.11
2031,Harvey Park South,783087.54,4.04
2031,Highland,1038880.36,3.71
